# event;subevent;status;phid;time;geo;pos dist; time dist;speed;user0
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;9C70D939-0B72-4B32-8B8C-0943CE522DFE/L0/001;08/05/2019 13:33:03;39.93652 43.40976;0.00000;0.00163;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;7BD1121A-7ED7-4860-A9CE-498FF70E30C1/L0/001;08/05/2019 13:33:09;39.93652 43.40976;0.00000;0.00000;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;D8331ADF-A2FC-408F-8ECD-A5A0DEFDCA09/L0/001;08/05/2019 13:33:09;39.93652 43.40976;0.00925;0.05971;0.11094;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;A5E4F10E-2627-4D8E-BE29-3C92F6C5FBA0/L0/001;08/05/2019 13:36:44;39.9366  43.40982;0.00000;0.00136;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;8A2004CE-111E-430A-8591-B735BC315C1C/L0/001;08/05/2019 13:36:49;39.9366  43.40982;0.00000;0.00000;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;FCBE73CD-5888-4A73-AEF0-1BEB6984D32E/L0/001;08/05/2019 13:36:49;39.9366  43.40982;0.00000;0.00095;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;4EDFD731-7709-44C0-ACD8-B98F0F4F847E/L0/001;08/05/2019 13:36:52;39.9366  43.40982;0.00000;0.00266;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;4B2950B1-DB60-43E8-AC67-FA66AC039B00/L0/001;08/05/2019 13:37:02;39.9366  43.40982;0.00996;0.03329;0.11949;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;C812810B-95FF-4D20-B3D7-D8AD749CDEAA/L0/001;08/05/2019 13:39:02;39.93649 43.40987;0.00130;0.04186;0.01559;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;B8F22C37-1E3A-4D88-A81C-6BE1D081A5B9/L0/001;08/05/2019 13:41:32;39.9365  43.40987;0.00000;0.00117;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;C7A16702-82F6-4F46-9702-BFD96250EB9D/L0/001;08/05/2019 13:41:36;39.9365  43.40987;0.00000;0.00106;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;43BDB48D-9856-4822-9D91-815F2E187A08/L0/001;08/05/2019 13:41:40;39.9365  43.40987;0.00000;0.00124;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;D6A6ADAB-2C30-4647-B35D-B092BA51FF26/L0/001;08/05/2019 13:41:45;39.9365  43.40987;0.00000;0.00042;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;4A790321-570D-4E9B-AED6-1F1C969111DC/L0/001;08/05/2019 13:41:46;39.9365  43.40987;0.00000;0.00644;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;B711CCAD-0986-4BBB-9333-566A057901EF/L0/001;08/05/2019 13:42:09;39.9365  43.40987;0.00096;0.03367;0.01152;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;C5F3684D-D438-4304-9A30-23EBE85AE6E2/L0/001;08/05/2019 13:44:11;39.93649 43.40988;0.00046;0.01926;0.00549;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;69D58089-108D-445D-8CF2-6DDD36EFBC9B/L0/001;08/05/2019 13:45:20;39.93649 43.40988;0.00154;0.01751;0.01842;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;3A03CC42-7C36-4D1E-8D50-0F3837F3311D/L0/001;08/05/2019 13:46:23;39.9365  43.40987;0.00057;0.04312;0.00686;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;13629F5C-5B67-4EFC-AB36-D0E1C82857C6/L0/001;08/05/2019 13:48:58;39.9365  43.40987;444.74782;0.09219;4824.20875;True
